CustomerID,Age,TenureMonths,MonthlyCharges,SupportCalls,ContractType,PaymentMethod,InternetService,Churn
CUST2030,66,22,101.92,0,One Year,Bank Transfer,No,No
CUST2031,44,21,108.42,1,One Year,Mailed Check,DSL,Yes
CUST2032,59,70,42.81,2,Month-to-Month,Mailed Check,DSL,No
CUST2033,45,70,41.2,1,Month-to-Month,Mailed Check,DSL,No
CUST2034,33,4,81.1,1,One Year,Bank Transfer,Fiber Optic,Yes
CUST2035,32,62,61.1,0,Two Year,Mailed Check,No,No
CUST2036,64,62,103.99,1,One Year,Mailed Check,Fiber Optic,No
CUST2037,68,24,110.0,1,Two Year,Credit Card,Fiber Optic,Yes
CUST2038,61,55,55.34,1,One Year,Credit Card,DSL,No
CUST2039,69,9,43.69,1,One Year,Bank Transfer,No,Yes
CUST2040,20,3,98.05,2,Month-to-Month,Electronic Check,No,Yes
CUST2041,54,31,47.48,3,One Year,Credit Card,DSL,No
CUST2042,68,40,102.26,1,One Year,Bank Transfer,Fiber Optic,Yes
CUST2043,24,36,62.37,2,One Year,Mailed Check,DSL,No
CUST2044,38,24,86.75,2,Month-to-Month,Mailed Check,Fiber Optic,Yes
CUST2045,26,6,29.55,0,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2046,56,66,82.39,6,Month-to-Month,Mailed Check,DSL,Yes
CUST2047,35,4,65.18,0,Month-to-Month,Mailed Check,Fiber Optic,Yes
CUST2048,21,6,78.66,2,Month-to-Month,Electronic Check,DSL,Yes
CUST2049,42,51,36.8,2,Two Year,Mailed Check,Fiber Optic,No
CUST2050,31,62,93.69,1,Month-to-Month,Credit Card,Fiber Optic,Yes
CUST2051,67,57,106.28,0,Month-to-Month,Mailed Check,DSL,No
CUST2052,26,66,41.67,1,Month-to-Month,Bank Transfer,Fiber Optic,No
CUST2053,43,8,29.57,0,One Year,Electronic Check,Fiber Optic,No
CUST2054,19,26,22.36,4,Month-to-Month,Mailed Check,Fiber Optic,Yes
CUST2055,37,51,84.2,3,Month-to-Month,Bank Transfer,DSL,Yes
CUST2056,45,45,80.71,2,One Year,Credit Card,Fiber Optic,No
CUST2057,64,44,74.67,0,Month-to-Month,Mailed Check,No,No
CUST2058,24,5,43.19,2,Two Year,Electronic Check,DSL,No
CUST2059,61,70,59.09,2,Two Year,Mailed Check,DSL,No
CUST2060,25,26,79.45,0,Month-to-Month,Bank Transfer,DSL,Yes
CUST2061,64,68,69.68,2,Month-to-Month,Electronic Check,Fiber Optic,No
CUST2062,52,19,118.78,0,One Year,Mailed Check,DSL,Yes
CUST2063,31,20,33.64,0,Month-to-Month,Credit Card,Fiber Optic,No
CUST2064,34,12,89.51,1,Month-to-Month,Electronic Check,Fiber Optic,Yes
CUST2065,53,47,60.43,1,Month-to-Month,Credit Card,Fiber Optic,No
CUST2066,67,1,62.82,1,Two Year,Bank Transfer,Fiber Optic,Yes
CUST2067,57,14,91.76,0,Month-to-Month,Mailed Check,Fiber Optic,Yes
CUST2068,21,64,89.24,0,One Year,Credit Card,Fiber Optic,No
CUST2069,19,38,119.13,1,One Year,Bank Transfer,DSL,No
CUST2070,23,37,32.84,1,Month-to-Month,Mailed Check,DSL,No
CUST2071,59,11,30.41,1,Month-to-Month,Bank Transfer,No,Yes
CUST2072,21,3,92.43,3,Two Year,Credit Card,DSL,Yes
CUST2073,46,33,77.84,2,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2074,35,6,47.42,2,One Year,Electronic Check,No,Yes
CUST2075,43,50,27.94,0,Month-to-Month,Mailed Check,DSL,No
CUST2076,61,10,28.57,2,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2077,51,5,109.42,1,Month-to-Month,Credit Card,Fiber Optic,Yes
CUST2078,27,23,39.19,2,Month-to-Month,Mailed Check,No,No
CUST2079,53,10,52.34,1,Month-to-Month,Electronic Check,No,No
CUST2080,31,44,42.67,0,Two Year,Mailed Check,Fiber Optic,No
CUST2081,48,2,55.5,1,Month-to-Month,Electronic Check,DSL,No
CUST2082,65,13,26.94,2,Month-to-Month,Mailed Check,Fiber Optic,No
CUST2083,32,40,71.91,4,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2084,25,2,26.76,1,One Year,Bank Transfer,Fiber Optic,No
CUST2085,31,65,100.04,1,Month-to-Month,Credit Card,DSL,No
CUST2086,40,63,43.37,2,One Year,Electronic Check,DSL,No
CUST2087,57,17,74.0,0,Month-to-Month,Credit Card,Fiber Optic,No
CUST2088,38,9,108.01,6,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2089,33,15,85.09,1,Month-to-Month,Electronic Check,DSL,Yes
CUST2090,62,24,73.3,0,Two Year,Credit Card,Fiber Optic,No
CUST2091,35,38,52.43,0,Month-to-Month,Credit Card,No,Yes
CUST2092,64,35,53.3,3,Month-to-Month,Credit Card,Fiber Optic,Yes
CUST2093,41,49,86.95,2,Month-to-Month,Credit Card,DSL,No
CUST2094,43,69,119.41,1,Two Year,Credit Card,DSL,Yes
CUST2095,42,62,86.18,2,Month-to-Month,Electronic Check,DSL,No
CUST2096,62,60,75.78,3,Month-to-Month,Credit Card,No,No
CUST2097,58,50,93.07,0,Month-to-Month,Electronic Check,Fiber Optic,Yes
CUST2098,46,9,66.52,0,Month-to-Month,Credit Card,Fiber Optic,Yes
CUST2099,32,34,26.01,2,One Year,Bank Transfer,Fiber Optic,No
CUST2100,62,35,76.23,2,One Year,Bank Transfer,Fiber Optic,Yes
CUST2101,18,1,115.76,2,Month-to-Month,Credit Card,No,Yes
CUST2102,42,40,37.53,1,Month-to-Month,Mailed Check,Fiber Optic,No
CUST2103,24,64,89.0,2,Month-to-Month,Bank Transfer,DSL,No
CUST2104,26,22,40.09,0,Month-to-Month,Electronic Check,DSL,Yes
CUST2105,41,60,73.58,0,Month-to-Month,Credit Card,Fiber Optic,No
CUST2106,18,64,29.67,1,One Year,Electronic Check,No,No
CUST2107,61,11,65.04,0,Two Year,Mailed Check,DSL,No
CUST2108,25,14,95.62,4,Two Year,Credit Card,No,No
CUST2109,41,60,54.76,1,Two Year,Bank Transfer,Fiber Optic,No
CUST2110,28,30,86.49,5,One Year,Electronic Check,DSL,Yes
CUST2111,68,35,99.54,2,One Year,Bank Transfer,DSL,No
CUST2112,34,37,112.72,2,Month-to-Month,Bank Transfer,DSL,No
CUST2113,25,5,43.46,7,One Year,Credit Card,Fiber Optic,Yes
CUST2114,52,26,59.93,2,Month-to-Month,Electronic Check,DSL,Yes
CUST2115,52,62,35.24,2,Month-to-Month,Mailed Check,Fiber Optic,No
CUST2116,50,4,119.25,2,One Year,Bank Transfer,Fiber Optic,Yes
CUST2117,22,42,112.7,0,Month-to-Month,Credit Card,Fiber Optic,Yes
CUST2118,59,18,74.0,0,Month-to-Month,Credit Card,DSL,Yes
CUST2119,56,40,104.2,2,Two Year,Mailed Check,Fiber Optic,Yes
CUST2120,58,39,72.1,1,Month-to-Month,Credit Card,Fiber Optic,Yes
CUST2121,45,14,82.36,2,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2122,24,32,28.91,0,Two Year,Credit Card,No,No
CUST2123,26,51,95.53,1,One Year,Electronic Check,DSL,No
CUST2124,25,38,32.77,2,Month-to-Month,Electronic Check,No,No
CUST2125,29,23,102.61,1,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2126,51,63,98.2,2,Month-to-Month,Electronic Check,Fiber Optic,No
CUST2127,50,15,90.87,2,Two Year,Mailed Check,Fiber Optic,No
CUST2128,65,25,23.62,4,One Year,Credit Card,Fiber Optic,Yes
CUST2129,40,17,50.31,1,Month-to-Month,Bank Transfer,DSL,Yes
CUST2130,41,66,46.31,1,Month-to-Month,Mailed Check,Fiber Optic,No
CUST2131,54,53,56.01,1,Month-to-Month,Credit Card,Fiber Optic,No
CUST2132,52,51,28.76,0,Two Year,Mailed Check,Fiber Optic,No
CUST2133,61,39,113.7,1,Month-to-Month,Bank Transfer,DSL,Yes
CUST2134,57,51,75.38,1,One Year,Bank Transfer,No,No
CUST2135,39,70,50.55,0,Month-to-Month,Mailed Check,Fiber Optic,No
CUST2136,44,6,59.7,0,One Year,Credit Card,DSL,Yes
CUST2137,52,67,64.72,0,Two Year,Electronic Check,Fiber Optic,No
CUST2138,18,7,80.06,3,One Year,Electronic Check,Fiber Optic,Yes
CUST2139,52,51,71.57,2,Month-to-Month,Mailed Check,Fiber Optic,Yes
CUST2140,54,42,111.94,1,One Year,Bank Transfer,Fiber Optic,No
CUST2141,64,64,69.7,4,One Year,Credit Card,No,Yes
CUST2142,31,15,119.22,2,Month-to-Month,Credit Card,DSL,Yes
CUST2143,20,29,105.14,0,Two Year,Bank Transfer,Fiber Optic,No
CUST2144,18,33,40.85,1,One Year,Electronic Check,No,No
CUST2145,22,27,113.06,2,Two Year,Credit Card,No,Yes
CUST2146,43,36,31.64,0,One Year,Mailed Check,Fiber Optic,No
CUST2147,31,29,101.74,0,Month-to-Month,Electronic Check,No,No
CUST2148,56,38,58.06,2,Month-to-Month,Mailed Check,DSL,Yes
CUST2149,44,57,107.8,3,Month-to-Month,Electronic Check,No,No
CUST2150,26,27,106.81,2,Two Year,Bank Transfer,DSL,Yes
CUST2151,32,55,100.59,2,One Year,Mailed Check,DSL,No
CUST2152,32,33,99.0,1,One Year,Mailed Check,DSL,Yes
CUST2153,43,68,50.47,0,Month-to-Month,Bank Transfer,Fiber Optic,No
CUST2154,59,66,28.09,1,Month-to-Month,Mailed Check,DSL,No
CUST2155,30,10,60.3,1,One Year,Electronic Check,DSL,No
CUST2156,68,5,37.35,0,Month-to-Month,Credit Card,DSL,No
CUST2157,49,38,89.5,1,Month-to-Month,Credit Card,DSL,Yes
CUST2158,56,13,54.61,1,One Year,Bank Transfer,Fiber Optic,Yes
CUST2159,66,31,117.56,1,Month-to-Month,Electronic Check,Fiber Optic,Yes
CUST2160,69,47,84.1,2,Month-to-Month,Mailed Check,DSL,Yes
CUST2161,49,52,102.25,3,Month-to-Month,Mailed Check,Fiber Optic,Yes
CUST2162,21,56,33.25,1,Month-to-Month,Credit Card,No,No
CUST2163,47,15,106.2,2,Two Year,Mailed Check,Fiber Optic,Yes
CUST2164,54,29,112.28,4,Month-to-Month,Credit Card,DSL,Yes
CUST2165,40,8,68.71,2,Month-to-Month,Bank Transfer,Fiber Optic,No
CUST2166,56,5,80.63,0,Month-to-Month,Mailed Check,DSL,Yes
CUST2167,62,29,96.48,2,One Year,Electronic Check,DSL,No
CUST2168,32,47,37.48,3,Month-to-Month,Mailed Check,DSL,Yes
CUST2169,60,68,70.26,1,One Year,Credit Card,No,No
CUST2170,46,45,59.87,1,Month-to-Month,Bank Transfer,DSL,No
CUST2171,53,2,34.64,1,Month-to-Month,Credit Card,DSL,No
CUST2172,30,27,56.75,2,Month-to-Month,Mailed Check,DSL,Yes
CUST2173,49,36,26.82,4,Two Year,Credit Card,No,No
CUST2174,24,36,22.58,4,Two Year,Credit Card,Fiber Optic,No
CUST2175,68,26,33.52,1,Month-to-Month,Bank Transfer,DSL,No
CUST2176,39,43,116.31,1,Month-to-Month,Electronic Check,Fiber Optic,Yes
CUST2177,45,27,74.95,6,Two Year,Mailed Check,Fiber Optic,Yes
CUST2178,19,69,116.58,1,Month-to-Month,Bank Transfer,Fiber Optic,No
CUST2179,59,20,63.25,2,Two Year,Electronic Check,DSL,No
CUST2180,62,11,51.18,0,Month-to-Month,Credit Card,No,No
CUST2181,23,38,70.61,1,Two Year,Electronic Check,DSL,No
CUST2182,45,6,63.95,3,One Year,Credit Card,Fiber Optic,No
CUST2183,45,23,30.57,4,Two Year,Credit Card,DSL,Yes
CUST2184,61,47,84.08,3,One Year,Bank Transfer,Fiber Optic,Yes
CUST2185,61,46,41.6,2,Month-to-Month,Credit Card,Fiber Optic,No
CUST2186,37,12,81.96,0,Two Year,Bank Transfer,Fiber Optic,Yes
CUST2187,47,13,85.02,1,Month-to-Month,Electronic Check,DSL,No
CUST2188,28,62,35.2,1,Month-to-Month,Electronic Check,Fiber Optic,No
CUST2189,45,60,26.13,3,One Year,Credit Card,DSL,No
CUST2190,42,43,98.08,4,One Year,Bank Transfer,Fiber Optic,Yes
CUST2191,56,68,65.98,1,Two Year,Credit Card,No,No
CUST2192,50,5,25.82,1,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2193,18,37,119.49,1,One Year,Bank Transfer,Fiber Optic,No
CUST2194,44,31,25.78,1,One Year,Bank Transfer,Fiber Optic,No
CUST2195,69,9,89.5,2,Month-to-Month,Electronic Check,Fiber Optic,Yes
CUST2196,30,51,118.37,2,Month-to-Month,Bank Transfer,No,Yes
CUST2197,58,29,43.92,2,Month-to-Month,Electronic Check,DSL,No
CUST2198,20,40,34.22,3,Month-to-Month,Bank Transfer,Fiber Optic,No
CUST2199,56,41,32.14,1,Two Year,Electronic Check,Fiber Optic,No
CUST2200,23,11,50.33,2,One Year,Mailed Check,Fiber Optic,No
CUST2201,25,23,30.1,1,One Year,Electronic Check,DSL,No
CUST2202,44,1,89.22,2,Two Year,Electronic Check,Fiber Optic,Yes
CUST2203,26,46,26.23,1,Month-to-Month,Credit Card,No,No
CUST2204,54,21,70.94,1,Two Year,Bank Transfer,No,Yes
CUST2205,50,36,119.67,2,Month-to-Month,Mailed Check,Fiber Optic,Yes
CUST2206,68,54,101.4,1,Two Year,Credit Card,Fiber Optic,No
CUST2207,59,57,81.52,1,Month-to-Month,Bank Transfer,No,No
CUST2208,61,1,50.63,0,Two Year,Mailed Check,DSL,No
CUST2209,41,63,82.39,1,Month-to-Month,Mailed Check,DSL,No
CUST2210,32,54,72.7,1,Month-to-Month,Mailed Check,Fiber Optic,Yes
CUST2211,49,55,62.61,2,One Year,Bank Transfer,No,No
CUST2212,49,40,33.07,0,Month-to-Month,Mailed Check,No,No
CUST2213,41,15,108.66,2,One Year,Mailed Check,Fiber Optic,No
CUST2214,58,21,64.98,3,Month-to-Month,Credit Card,DSL,Yes
CUST2215,69,47,39.46,0,One Year,Electronic Check,Fiber Optic,No
CUST2216,66,53,56.78,2,Month-to-Month,Bank Transfer,DSL,No
CUST2217,66,9,61.41,2,Month-to-Month,Electronic Check,DSL,Yes
CUST2218,69,52,102.75,1,Month-to-Month,Credit Card,Fiber Optic,No
CUST2219,29,57,93.36,2,Month-to-Month,Electronic Check,DSL,No
CUST2220,56,26,96.93,0,Month-to-Month,Mailed Check,No,No
CUST2221,19,41,21.1,3,Month-to-Month,Mailed Check,Fiber Optic,Yes
CUST2222,20,35,61.62,3,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2223,66,63,68.13,0,Month-to-Month,Bank Transfer,DSL,No
CUST2224,54,25,21.92,1,One Year,Bank Transfer,DSL,No
CUST2225,66,38,45.98,2,Two Year,Credit Card,DSL,No
CUST2226,34,2,96.03,1,Month-to-Month,Bank Transfer,No,No
CUST2227,66,7,33.71,2,One Year,Credit Card,No,No
CUST2228,19,34,73.53,0,One Year,Mailed Check,Fiber Optic,Yes
CUST2229,19,17,41.52,1,Month-to-Month,Electronic Check,DSL,No
CUST2230,45,43,21.21,3,One Year,Mailed Check,No,No
CUST2231,40,59,44.12,2,Month-to-Month,Mailed Check,DSL,No
CUST2232,54,51,117.59,3,Month-to-Month,Mailed Check,DSL,Yes
CUST2233,49,54,100.15,1,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2234,50,24,115.96,0,One Year,Bank Transfer,No,No
CUST2235,18,25,68.79,2,One Year,Bank Transfer,DSL,No
CUST2236,36,71,30.97,1,Month-to-Month,Electronic Check,DSL,No
CUST2237,19,52,74.8,1,Month-to-Month,Bank Transfer,No,No
CUST2238,61,70,65.44,0,Two Year,Credit Card,DSL,No
CUST2239,43,33,104.44,2,Month-to-Month,Mailed Check,DSL,Yes
CUST2240,49,49,29.81,1,Month-to-Month,Electronic Check,Fiber Optic,No
CUST2241,23,29,68.82,6,Two Year,Electronic Check,No,No
CUST2242,49,63,35.0,3,One Year,Electronic Check,Fiber Optic,No
CUST2243,21,22,52.47,0,One Year,Electronic Check,No,No
CUST2244,28,26,93.74,2,One Year,Electronic Check,Fiber Optic,Yes
CUST2245,34,28,67.6,1,Two Year,Credit Card,DSL,No
CUST2246,55,49,57.59,2,Month-to-Month,Mailed Check,No,No
CUST2247,41,71,59.45,3,Month-to-Month,Electronic Check,Fiber Optic,No
CUST2248,22,49,65.94,2,Month-to-Month,Mailed Check,DSL,No
CUST2249,69,20,98.5,2,Two Year,Bank Transfer,Fiber Optic,Yes
CUST2250,51,63,109.21,2,One Year,Electronic Check,DSL,No
CUST2251,23,61,115.53,0,Month-to-Month,Electronic Check,DSL,No
CUST2252,39,49,98.69,1,Two Year,Mailed Check,DSL,No
CUST2253,28,71,51.54,0,Month-to-Month,Electronic Check,Fiber Optic,No
CUST2254,65,1,88.81,2,Month-to-Month,Electronic Check,No,Yes
CUST2255,33,13,63.76,2,Month-to-Month,Electronic Check,Fiber Optic,No
CUST2256,50,51,45.47,1,Month-to-Month,Credit Card,No,Yes
CUST2257,26,56,104.09,0,Two Year,Credit Card,DSL,No
CUST2258,23,62,23.84,0,Month-to-Month,Electronic Check,DSL,No
CUST2259,33,32,110.18,0,Two Year,Credit Card,DSL,No
CUST2260,46,30,66.15,4,One Year,Bank Transfer,DSL,No
CUST2261,20,29,83.72,1,Month-to-Month,Electronic Check,DSL,Yes
CUST2262,37,49,85.94,1,Two Year,Bank Transfer,Fiber Optic,No
CUST2263,53,45,109.51,1,Month-to-Month,Mailed Check,No,No
CUST2264,36,30,83.67,3,Month-to-Month,Bank Transfer,No,Yes
CUST2265,43,16,81.39,3,Month-to-Month,Mailed Check,DSL,Yes
CUST2266,20,40,26.67,3,Two Year,Electronic Check,No,No
CUST2267,36,19,71.84,1,Month-to-Month,Mailed Check,DSL,Yes
CUST2268,37,18,35.02,1,Month-to-Month,Mailed Check,DSL,Yes
CUST2269,49,1,93.74,5,Month-to-Month,Bank Transfer,No,Yes
CUST2270,24,47,71.22,1,Month-to-Month,Bank Transfer,Fiber Optic,No
CUST2271,69,66,88.02,1,One Year,Bank Transfer,DSL,No
CUST2272,58,38,24.17,1,Month-to-Month,Electronic Check,Fiber Optic,No
CUST2273,50,51,28.48,0,Month-to-Month,Electronic Check,DSL,No
CUST2274,57,63,91.63,0,Month-to-Month,Bank Transfer,Fiber Optic,No
CUST2275,56,4,27.21,0,Month-to-Month,Electronic Check,Fiber Optic,No
CUST2276,35,1,27.13,3,Two Year,Electronic Check,No,No
CUST2277,57,8,21.21,0,Month-to-Month,Mailed Check,DSL,No
CUST2278,18,29,115.65,0,Two Year,Mailed Check,Fiber Optic,No
CUST2279,28,55,93.75,0,Month-to-Month,Bank Transfer,Fiber Optic,No
CUST2280,45,3,55.33,1,Month-to-Month,Electronic Check,Fiber Optic,Yes
CUST2281,42,32,49.65,1,Two Year,Mailed Check,DSL,Yes
CUST2282,67,10,54.97,0,Month-to-Month,Credit Card,Fiber Optic,No
CUST2283,40,34,97.47,2,One Year,Electronic Check,No,Yes
CUST2284,48,55,86.14,0,Two Year,Credit Card,No,No
CUST2285,47,32,38.52,1,Month-to-Month,Bank Transfer,No,No
CUST2286,59,50,37.41,0,Month-to-Month,Electronic Check,No,No
CUST2287,52,7,29.84,3,One Year,Bank Transfer,Fiber Optic,No
CUST2288,24,8,86.03,2,Month-to-Month,Bank Transfer,No,Yes
CUST2289,33,65,96.44,1,Month-to-Month,Bank Transfer,DSL,No
CUST2290,43,57,46.5,1,Month-to-Month,Bank Transfer,Fiber Optic,No
CUST2291,65,67,22.09,3,Month-to-Month,Bank Transfer,DSL,No
CUST2292,69,59,28.22,1,One Year,Electronic Check,Fiber Optic,No
CUST2293,66,54,116.79,1,Month-to-Month,Credit Card,DSL,No
CUST2294,19,67,49.54,1,Month-to-Month,Electronic Check,No,No
CUST2295,18,51,96.92,2,One Year,Electronic Check,DSL,No
CUST2296,65,8,82.47,1,Month-to-Month,Electronic Check,DSL,Yes
CUST2297,29,34,58.19,0,Month-to-Month,Mailed Check,Fiber Optic,Yes
CUST2298,22,35,40.57,1,One Year,Mailed Check,DSL,No
CUST2299,54,32,32.14,2,Month-to-Month,Electronic Check,DSL,No
CUST2300,49,46,81.5,1,One Year,Credit Card,DSL,No
CUST2301,26,16,97.46,0,Two Year,Electronic Check,Fiber Optic,Yes
CUST2302,58,68,84.39,5,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2303,52,37,73.03,2,Month-to-Month,Mailed Check,Fiber Optic,No
CUST2304,36,54,24.2,0,Month-to-Month,Mailed Check,Fiber Optic,No
CUST2305,65,14,116.85,3,Month-to-Month,Electronic Check,Fiber Optic,Yes
CUST2306,33,55,99.87,3,Two Year,Electronic Check,DSL,No
CUST2307,20,48,49.28,0,Two Year,Credit Card,DSL,No
CUST2308,37,7,118.0,2,Month-to-Month,Credit Card,Fiber Optic,Yes
CUST2309,41,7,80.19,1,One Year,Bank Transfer,DSL,No
CUST2310,50,33,78.24,1,Two Year,Electronic Check,DSL,No
CUST2311,41,23,94.81,2,Two Year,Electronic Check,Fiber Optic,No
CUST2312,69,19,101.18,2,Month-to-Month,Electronic Check,Fiber Optic,Yes
CUST2313,28,19,85.65,0,Month-to-Month,Mailed Check,DSL,Yes
CUST2314,66,36,32.81,1,Month-to-Month,Bank Transfer,DSL,No
CUST2315,25,29,53.83,0,Two Year,Credit Card,No,No
CUST2316,53,60,112.81,1,Month-to-Month,Mailed Check,No,No
CUST2317,55,2,42.46,3,One Year,Mailed Check,Fiber Optic,Yes
CUST2318,57,1,57.22,0,Month-to-Month,Mailed Check,Fiber Optic,Yes
CUST2319,37,47,63.21,2,Month-to-Month,Mailed Check,Fiber Optic,No
CUST2320,52,69,63.94,3,Month-to-Month,Bank Transfer,No,Yes
CUST2321,65,20,81.29,4,Two Year,Electronic Check,No,Yes
CUST2322,42,11,114.31,1,Month-to-Month,Credit Card,DSL,Yes
CUST2323,52,2,44.07,3,One Year,Credit Card,No,Yes
CUST2324,42,67,32.15,0,Month-to-Month,Mailed Check,DSL,No
CUST2325,46,12,39.75,5,Month-to-Month,Mailed Check,DSL,Yes
CUST2326,35,20,108.69,3,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2327,63,5,84.58,2,Month-to-Month,Mailed Check,Fiber Optic,Yes
CUST2328,35,37,48.59,0,Month-to-Month,Credit Card,No,No
CUST2329,19,38,101.59,1,Month-to-Month,Credit Card,DSL,No
CUST2330,52,9,106.14,0,Month-to-Month,Electronic Check,Fiber Optic,Yes
CUST2331,33,53,104.65,2,Month-to-Month,Electronic Check,No,Yes
CUST2332,58,44,111.89,0,Two Year,Credit Card,No,No
CUST2333,53,24,45.22,0,Two Year,Credit Card,DSL,No
CUST2334,50,30,95.5,2,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2335,21,59,66.05,2,One Year,Bank Transfer,Fiber Optic,No
CUST2336,50,14,104.2,1,Two Year,Credit Card,DSL,No
CUST2337,31,9,92.85,2,Month-to-Month,Mailed Check,No,Yes
CUST2338,38,40,97.64,1,Two Year,Electronic Check,No,Yes
CUST2339,65,66,85.62,1,Two Year,Credit Card,DSL,No
CUST2340,37,25,37.74,1,Month-to-Month,Mailed Check,DSL,No
CUST2341,25,22,74.5,4,Month-to-Month,Credit Card,DSL,Yes
CUST2342,24,4,118.47,0,Two Year,Electronic Check,No,No
CUST2343,20,26,113.74,2,Month-to-Month,Electronic Check,DSL,Yes
CUST2344,34,58,24.32,0,Month-to-Month,Bank Transfer,Fiber Optic,No
CUST2345,50,29,36.48,1,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2346,65,37,33.17,1,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2347,29,70,92.6,1,One Year,Bank Transfer,DSL,No
CUST2348,68,18,101.78,1,One Year,Electronic Check,DSL,No
CUST2349,39,42,41.35,5,Two Year,Mailed Check,No,Yes
CUST2350,39,41,70.59,1,Month-to-Month,Mailed Check,No,No
CUST2351,63,38,104.07,1,Month-to-Month,Mailed Check,Fiber Optic,No
CUST2352,47,34,93.28,0,Month-to-Month,Credit Card,DSL,No
CUST2353,55,17,74.22,3,Month-to-Month,Bank Transfer,DSL,Yes
CUST2354,55,37,79.03,2,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2355,62,25,70.84,0,Two Year,Electronic Check,DSL,No
CUST2356,68,27,49.75,1,Two Year,Electronic Check,No,No
CUST2357,25,57,76.5,0,Month-to-Month,Credit Card,Fiber Optic,No
CUST2358,44,31,88.89,2,One Year,Credit Card,DSL,No
CUST2359,44,6,107.33,1,Month-to-Month,Mailed Check,No,Yes
CUST2360,51,40,83.63,1,Month-to-Month,Electronic Check,No,Yes
CUST2361,38,12,96.11,3,One Year,Bank Transfer,DSL,Yes
CUST2362,47,53,36.01,3,Month-to-Month,Mailed Check,Fiber Optic,No
CUST2363,50,71,66.16,4,Two Year,Bank Transfer,DSL,No
CUST2364,45,10,20.93,2,One Year,Mailed Check,Fiber Optic,No
CUST2365,64,45,44.67,1,Month-to-Month,Bank Transfer,DSL,No
CUST2366,50,17,92.65,3,One Year,Credit Card,Fiber Optic,Yes
CUST2367,22,26,119.18,0,Month-to-Month,Mailed Check,No,Yes
CUST2368,65,62,29.92,5,Month-to-Month,Bank Transfer,Fiber Optic,No
CUST2369,36,46,60.15,0,Month-to-Month,Bank Transfer,DSL,Yes
